name,freq,error
Actinobacillus arthritidis sp. nov,1,
Actinobaculum urinale sp. nov,1,
Actinocatenispora rupis sp. nov,1,
Actinocatenispora sera sp. nov,1,
Actinocatenispora thailandica gen. nov,1,
Actinochlamydia pangasiae sp. nov,1,
Actinocorallia aurea sp. nov,1,
Actinocorallia cavernae sp. nov,1,
Actinocorallia lasiicapitis sp. nov,1,
Actinocorallia populi sp. nov,1,
Actinocrinis puniceicyclus gen. nov,1,
Actinocrispum wychmicini gen. nov,1,
Actinokineospora acnipugnans sp. nov,1,
Actinokineospora baliensis sp. nov,1,
Actinokineospora bangkokensis sp. nov,1,
Actinokineospora cianjurensis sp. nov,1,
Actinokineospora cibodasensis sp. nov,1,
Actinokineospora guangxiensis sp. nov,1,
Actinokineospora mzabensis sp. nov,1,
Actinokineospora soli sp. nov,1,
Actinokineospora spheciospongiae sp. nov,1,
Actinomadura adrarensis sp. nov,1,
Actinomadura alba sp. nov,1,
Actinomadura algeriensis sp. nov,1,
Actinomadura amylolytica sp. nov,1,
Actinomadura apis sp. nov,1,
Actinomadura bangladeshensis sp. nov,1,
Actinomadura barringtoniae sp. nov,1,
Actinomadura catellatispora sp. nov,1,
Actinomadura cellulosilytica sp. nov,1,
Actinomadura chibensis sp. nov,1,
Actinomadura chokoriensis sp. nov,1,
Actinomadura darangshiensis sp. nov,1,
Actinomadura deserti sp. nov,1,
Actinomadura flavalba sp. nov,1,
Actinomadura gamaensis sp. nov,1,
Actinomadura geliboluensis sp. nov,1,
Actinomadura glauciflava sp. nov,1,
Actinomadura hallensis sp. nov,1,
Actinomadura hankyongense sp. nov,1,
Actinomadura jiaoheensis sp. nov,1,
Actinomadura keratinilytica sp. nov,1,
Actinomadura maheshkhaliensis sp. nov,1,
Actinomadura meridiana sp. nov,1,
Actinomadura mexicana sp. nov,1,
Actinomadura meyerii sp. nov,1,
Actinomadura miaoliensis sp. nov,1,
Actinomadura montaniterrae sp. nov,1,
Actinomadura namibiensis sp. nov,1,
Actinomadura napierensis sp. nov,1,
Actinomadura rayongensis sp. nov,1,
Actinomadura rhizosphaerae sp. nov,1,
Actinomadura rudentiformis sp. nov,1,
Actinomadura rupiterrae sp. nov,1,
Actinomadura scrupuli sp. nov,1,
Actinomadura sediminis sp. nov,1,
Actinomadura sporangiiformans sp. nov,1,
Actinomadura sputi sp. nov,1,
Actinomadura syzygii sp. nov,1,
Actinomadura xylanilytica sp. nov,1,
Actinomyces cardiffensis sp. nov,1,
Actinomyces catuli sp. nov,1,
Actinomyces coleocanis sp. nov,1,
Actinomyces dentalis sp. nov,1,
Actinomyces funkei sp. nov,1,
Actinomyces gaoshouyii sp. nov,1,
Actinomyces glycerinitolerans sp. nov,1,
Actinomyces haliotis sp. nov,1,
Actinomyces hominis sp. nov,1,
Actinomyces hongkongensis sp. nov,1,
Actinomyces johnsonii sp. nov,1,
Actinomyces marimammalium sp. nov,1,
Actinomyces massiliensis sp. nov,1,
Actinomyces nasicola sp. nov,1,
Actinomyces naturae sp. nov,1,
Actinomyces oricola sp. nov,1,
Actinomyces oris sp. nov,1,
Actinomyces ruminicola sp. nov,1,
Actinomyces succiniciruminis sp. nov,1,
Actinomyces suimastitidis sp. nov,1,
Actinomyces tangfeifanii sp. nov,1,
Actinomyces timonensis sp. nov,1,
Actinomyces vaccimaxillae sp. nov,1,
Actinomyces vulturis sp. nov,1,
Actinomyces weissii sp. nov,1,
Actinomycetospora atypica sp. nov,1,
Actinomycetospora chiangmaiensis gen. nov,1,
Actinomycetospora chibensis sp. nov,1,
Actinomycetospora chlora sp. nov,1,
Actinomycetospora cinnamomea sp. nov,1,
Actinomycetospora corticicola sp. nov,1,
Actinomycetospora endophytica sp. nov,1,
Actinomycetospora iriomotensis sp. nov,1,
Actinomycetospora lutea sp. nov,1,
Actinomycetospora rhizophila sp. nov,1,
Actinomycetospora rishiriensis sp. nov,1,
Actinomycetospora straminea sp. nov,1,
Actinomycetospora succinea sp. nov,1,
Actinophytocola algeriensis sp. nov,1,
Actinophytocola burenkhanensis sp. nov,1,
Actinophytocola corallina sp. nov,1,
Actinophytocola gilvus sp. nov,1,
Actinophytocola glycyrrhizae sp. nov,1,
Actinophytocola oryzae gen. nov,1,
Actinophytocola sediminis sp. nov,1,
Actinophytocola timorensis sp. nov,1,
Actinophytocola xanthii sp. nov,1,
Actinophytocola xinjiangensis sp. nov,1,
Actinoplanes abujensis sp. nov,1,
Actinoplanes atraurantiacus sp. nov,1,
Actinoplanes bogoriensis sp. nov,1,
Actinoplanes couchii sp. nov,1,
Actinoplanes hulinensis sp. nov,1,
Actinoplanes lichenis sp. nov,1,
Actinoplanes liguriensis sp. nov,1,
Actinoplanes luteus sp. nov,1,
Actinoplanes lutulentus sp. nov,1,
Actinoplanes nipponensis sp. nov,1,
Actinoplanes ramoplaninifer sp. nov,1,
Actinoplanes rhizophilus sp. nov,1,
Actinoplanes rishiriensis sp. nov,1,
Actinoplanes sediminis sp. nov,1,
Actinoplanes siamensis sp. nov,1,
Actinoplanes sichuanensis sp. nov,1,
Actinoplanes subglobosus sp. nov,1,
Actinoplanes teichomyceticus sp. nov,1,
Actinoplanes tereljensis sp. nov,1,
Actinoplanes toevensis sp. nov,1,
Actinoplanes xinjiangensis sp. nov,1,
Actinopolymorpha alba sp. nov,1,
Actinopolymorpha cephalotaxi sp. nov,1,
Actinopolymorpha pittospori sp. nov,1,
Actinopolymorpha rutila sp. nov,1,
Actinopolymorpha singaporensis gen. nov,1,
Actinopolyspora alba sp. nov,1,
Actinopolyspora algeriensis sp. nov,1,
Actinopolyspora biskrensis sp. nov,1,
Actinopolyspora dayingensis sp. nov,1,
Actinopolyspora erythraea sp. nov,1,
Actinopolyspora lacussalsi sp. nov,1,
Actinopolyspora mzabensis sp. nov,1,
Actinopolyspora righensis sp. nov,1,
Actinopolyspora saharensis sp. nov,1,
Actinopolyspora salinaria sp. nov,1,
Actinopolyspora xinjiangensis sp. nov,1,
Actinorectispora metalli sp. nov,1,
Actinorhabdospora filicis gen. nov,1,
Actinorugispora endophytica gen. nov,1,
Actinospica acidiphila sp. nov,1,
Actinospica durhamensis sp. nov,1,
Actinospica robiniae gen. nov,1,
Actinotalea caeni sp. nov,1,
Actinotalea fermentans gen. nov,1,
Actinotalea ferrariae sp. nov,1,
Actinotalea solisilvae sp. nov,1,
Actinotalea suaedae sp. nov,1,
Actinotignum sanguinis sp. nov,1,
Actinotignum schaalii gen. nov,1,
Acuticoccus kandeliae sp. nov,1,
Acuticoccus yangtzensis gen. nov,1,
Adhaeribacter aerolatus sp. nov,1,
Adhaeribacter aerophilus sp. nov,1,
Adhaeribacter aquaticus gen. nov,1,
Adhaeribacter swui sp. nov,1,
Adhaeribacter terrae sp. nov,1,
Adhaeribacter terreus sp. nov,1,
Adlercreutzia equolifaciens gen. nov,1,
Advenella faeciporci sp. nov,1,
Advenella incenata gen. nov,1,
Aequorivita capsosiphonis sp. nov,1,
Aequorivita viscosa sp. nov,1,
Aeribacillus composti sp. nov,1,
Aeriscardovia aeriphila gen. nov,1,
Aerococcus sanguicola sp. nov,1,
Aerococcus suis sp. nov,1,
Aerococcus urinaehominis sp. nov,1,
Aerococcus vaginalis sp. nov,1,
Aeromicrobium alkaliterrae sp. nov,1,
Aeromicrobium camelliae sp. nov,1,
