Name	Year
Dolosicoccus paucivorans	1999
Dolosigranulum pigrum	1994
Domibacillus antri	2016
Domibacillus enclensis	2014
Domibacillus epiphyticus	2017
Domibacillus indicus	2014
Domibacillus iocasae	2016
Domibacillus mangrovi	2017
Domibacillus robiginosus	2013
Domibacillus tundrae	2015
Donghaeana dokdonensis	2006
Donghicola eburneus	2007
Donghicola tyrosinivorans	2015
Donghicola xiamenensis	2009
Dongia mobilis	2010
Dongia rigui	2014
Dongia soli	2016
Dorea formicigenerans	2002
Dorea longicatena	2002
Draconibacterium orientale	2014
Draconibacterium sediminis	2015
Dubosiella newyorkensis	2017
Duganella ginsengisoli	2016
Duganella phyllosphaerae	2012
Duganella radicis	2013
Duganella sacchari	2013
Duganella violaceinigra	2004
Duganella zoogloeoides	1997
Dyadobacter alkalitolerans	2009
Dyadobacter arcticus	2013
Dyadobacter beijingensis	2007
Dyadobacter crusticola	2005
Dyadobacter endophyticus	2016
Dyadobacter fermentans	2000
Dyadobacter ginsengisoli	2006
Dyadobacter hamtensis	2005
Dyadobacter jejuensis	2013
Dyadobacter koreensis	2007
Dyadobacter psychrophilus	2010
Dyadobacter sediminis	2015
Dyadobacter soli	2010
Dyella agri	2017
Dyella caseinilytica	2017
Dyella flava	2017
Dyella ginsengisoli	2009
Dyella japonica	2005
Dyella jejuensis	2015
Dyella koreensis	2005
Dyella lipolytica	2017
Dyella marensis	2009
Dyella mobilis	2017
Dyella soli	2009
Dyella terrae	2009
Dyella thiooxydans	2011
Dyella yeojuensis	2006
Dysgonomonas alginatilytica	2015
Dysgonomonas capnocytophagoides	2000
Dysgonomonas gadei	2000
Dysgonomonas hofstadii	2010
Dysgonomonas macrotermitis	2014
Dysgonomonas mossii	2002
Dysgonomonas oryzarvi	2012
Dysgonomonas termitidis	2015
Echinicola jeungdonensis	2011
Echinicola pacifica	2006
Echinicola rosea	2016
Echinicola sediminis	2017
Echinicola vietnamensis	2007
Echinimonas agarilytica	2013
Ectothiorhodosinus mongolicus	2007
Ectothiorhodospira abdelmalekii	1982
Ectothiorhodospira haloalkaliphila	1997
Ectothiorhodospira halochloris	1979
Ectothiorhodospira halophila	1969
Ectothiorhodospira magna	2011
Ectothiorhodospira marina	1997
Ectothiorhodospira marismortui	1990
Ectothiorhodospira mobilis	1936
Ectothiorhodospira salini	2011
Ectothiorhodospira shaposhnikovii	1969
Ectothiorhodospira vacuolata	1982
Ectothiorhodospira variabilis	2009
Edaphobacter acidisoli	2017
Edaphobacter aggregans	2008
Edaphobacter dinghuensis	2016
Edaphobacter modestus	2008
Edaphobaculum flavum	2017
Edwardsiella anguillimortifera	1975
Edwardsiella hoshinae	1981
Edwardsiella ictaluri	1981
Edwardsiella tarda	1965
Effluviibacter roseus	2006
Effusibacillus consociatus	2014
Effusibacillus lacus	2014
Effusibacillus pohliae	2014
Eggerthella hongkongensis	2006
Eggerthella Kageyama	1999
Eggerthella lenta	1999
Eggerthella lenta	1999
Eggerthella sinensis	2006
Eggerthia catenaformis	2011
Egibacter rhizosphaerae	2016
Egicoccaceae Zhang	2016
Egicoccus halophilus	2016
Ehrlichia canis	1945
Ehrlichia chaffeensis	1992
Ehrlichia equi	1988
Ehrlichia ewingii	1992
Ehrlichia muris	1995
Ehrlichia phagocytophila	1962
Ehrlichia risticii	1985
Ehrlichia ruminantium	2001
Ehrlichia sennetsu	1984
Eikenella corrodens	1972
Eilatimonas milleporae	2013
Eionea flava	2015
Eionea nigra	2011
Eisenbergiella tayi	2014
Eisenibacter elegans	2017
Ekhidna lutea	2010
Elioraea tepidiphila	2008
Elizabethkingia anophelis	2011
Elizabethkingia endophytica	2015
Elizabethkingia meningoseptica	2005
Elizabethkingia miricola	2005
Ellagibacter isourolithinifaciens	2018
Elstera cyanobacteriorum	2017
Elstera litoralis	2012
Elusimicrobium minutum	2010
Elytrosporangium brasiliense	1966
Elytrosporangium carpinense	1971
Elytrosporangium spirale	1970
Empedobacter brevis	1994
Empedobacter falsenii	2014
Empedobacter stercoris	2015
Emticicia aquatica	2015
Emticicia aquatilis	2017
Emticicia fontis	2016
Emticicia ginsengisoli	2008
Emticicia oligotrophica	2006
Emticicia paludis	2016
Emticicia sediminis	2015
Emticicia soli	2017
Endobacter medicaginis	2013
Endomicrobium proavitum	2018
Endothiovibrio diazotrophicus	2017
Endozoicomonas acroporae	2017
Endozoicomonas arenosclerae	2016
Endozoicomonas ascidiicola	2016
Endozoicomonas atrinae	2014
Endozoicomonas elysicola	2007
Endozoicomonas euniceicola	2013
Endozoicomonas gorgoniicola	2013
Endozoicomonas montiporae	2010
Endozoicomonas numazuensis	2013
Enhydrobacter aerosaccus	1987
Enhygromyxa salina	2003
Enorma massiliensis	2016
Enorma timonensis	2016
Ensifer adhaerens	1982
Ensifer alkalisoli	2016
Ensifer americanus	2015
Ensifer arboris	2003
Ensifer fredii	2003
Ensifer garamanticus	2010
Ensifer glycinis	2016
Ensifer kostiensis	2003
Ensifer kummerowiae	2003
Ensifer medicae	2003
Ensifer meliloti	2003
Ensifer mexicanus	2011
Ensifer morelensis	2015
Ensifer numidicus	2010
Ensifer psoraleae	2015
Ensifer saheli	2003
Ensifer sesbaniae	2015
Ensifer shofinae	2017
Ensifer sojae	2011
Ensifer terangae	2003
Ensifer xinjiangensis	2003
Enteractinococcus coprophilus	2012
Enteractinococcus fodinae	2012
Enterobacillus tribolii	2015
Enterobacter aerogenes	1960
Enterobacter agglomerans	1972
Enterobacter amnigenus	1981
Enterobacter arachidis	2010
Enterobacter asburiae	1988
Enterobacter bugandensis	2016
Enterobacter cancerogenus	1988
Enterobacter cloacae	1960
Enterobacter cowanii	2001
Enterobacter dissolvens	1988
Enterobacter gergoviae	1980
Enterobacter helveticus	2007
Enterobacter hormaechei	1990
Enterobacter intermedius	1980
Enterobacter kobei	1997
Enterobacter ludwigii	2005
Enterobacter massiliensis	2014
Enterobacter mori	2011
Enterobacter muelleri	2015
Enterobacter nimipressuralis	1988
Enterobacter oryzae	2009
Enterobacter oryzendophyticus	2015
Enterobacter oryziphilus	2015
Enterobacter pulveris	2008
Enterobacter pyrinus	1993
Enterobacter radicincitans	2005
Enterobacter sakazakii	1980
Enterobacter siamensis	2014
Enterobacter soli	2011
Enterobacter tabaci	2016
Enterobacter taylorae	1985
Enterobacter turicensis	2007
Enterobacter xiangfangensis	2014
Enterococcus alcedinis	2013
Enterococcus aquimarinus	2005
Enterococcus asini	1998
Enterococcus avium	1984
Enterococcus bulliens	2016
Enterococcus caccae	2006
Enterococcus camelliae	2007
Enterococcus canintestini	2005
Enterococcus canis	2003
Enterococcus casseliflavus	1984
Enterococcus cecorum	1989
Enterococcus columbae	1993
Enterococcus crotali	2017
Enterococcus devriesei	2005
Enterococcus diestrammenae	2013
Enterococcus dispar	1991
Enterococcus durans	1984
Enterococcus faecalis	1984
Enterococcus faecium	1984
Enterococcus flavescens	1992
Enterococcus gallinarum	1984
Enterococcus gilvus	2002
Enterococcus haemoperoxidus	2001
Enterococcus hermanniensis	2004
Enterococcus hirae	1985
Enterococcus italicus	2004
Enterococcus lactis	2012
Enterococcus malodoratus	1984
Enterococcus moraviensis	2001
Enterococcus mundtii	1986
Enterococcus olivae	2014
Enterococcus pallens	2002
Enterococcus phoeniculicola	2003
Enterococcus plantarum	2012
Enterococcus porcinus	2001
Enterococcus pseudoavium	1989
Enterococcus quebecensis	2012
Enterococcus raffinosus	1989
Enterococcus ratti	2001
Enterococcus rivorum	2012
Enterococcus rotai	2013
Enterococcus saccharolyticus	1991
Enterococcus saccharominimus	2004
Enterococcus saigonensis	2016
Enterococcus seriolicida	1991
Enterococcus silesiacus	2006
Enterococcus solitarius	1989
Enterococcus sulfureus	1991
Enterococcus termitis	2006
Enterococcus thailandicus	2008
Enterococcus ureasiticus	2012
Enterococcus ureilyticus	2013
Enterococcus viikkiensis	2011
Enterococcus villorum	2001
Enterococcus wangshanyuanii	2017
Enterococcus xiangfangensis	2014
Enterorhabdus caecimuris	2010
Enterorhabdus mucosicola	2009
Enterorhabdus muris	2016
Enteroscipio rubneri	2018
Enterovibrio calviensis	2009
Enterovibrio coralii	2005
Enterovibrio nigricans	2009
Enterovibrio norvegicus	2002
Enterovibrio pacificus	2016
Enterovirga rhinocerotis	2017
Entomoplasma ellychniae	1993
Entomoplasma freundtii	1998
Entomoplasma lucivorax	1993
Entomoplasma luminosum	1993
Entomoplasma melaleucae	1993
Entomoplasma somnilux	1993
Eoetvoesia caeni	2014
Eperythrozoon coccoides	1928
Eperythrozoon ovis	1934
Eperythrozoon parvum	1950
Eperythrozoon suis	1950
Eperythrozoon wenyonii	1934
Epibacterium mobile	2018
Epibacterium multivorans	2018
Epibacterium scottomollicae	2018
Epibacterium ulvae	2013
Epidermidibacterium keratini	2018
Epilithonimonas ginsengisoli	2015
Epilithonimonas lactis	2010
Epilithonimonas psychrotolerans	2015
Epilithonimonas tenax	2006
Epilithonimonas xixisoli	2014
Ercella succinigenes	2014
Ereboglobus luteus	2018
Eremococcus coleocola	1999
Erwinia alni	1996
Erwinia amylovora	1920
Erwinia ananatis	1928
Erwinia aphidicola	1998
Erwinia billingiae	1999
Erwinia cacticida	1991
Erwinia cancerogena	1966
Erwinia carnegieana	1942
Erwinia carotovora	1923
Erwinia chrysanthemi	1953
Erwinia cypripedii	1923
Erwinia dissolvens	1948
Erwinia endophytica	2016
Erwinia gerundensis	2016
Erwinia herbicola	1964
Erwinia iniecta	2015
Erwinia mallotivora	1976
Erwinia milletiae	1937
Erwinia nigrifluens	1957
Erwinia nimipressuralis	1969
Erwinia oleae	2011
Erwinia papayae	2004
Erwinia paradisiaca	1970
Erwinia persicina	1990
Erwinia piriflorinigrans	2011
Erwinia psidii	1988
Erwinia pyrifoliae	1999
Erwinia quercina	1967
Erwinia rhapontici	1948
Erwinia rubrifaciens	1967
Erwinia salicis	1939
Erwinia stewartii	1963
Erwinia tasmaniensis	2006
Erwinia teleogrylli	2016
Erwinia toletana	2004
Erwinia tracheiphila	1923
Erwinia typographi	2012
Erwinia uredovora	1963
Erwinia uzenensis	2012
Erysipelothrix inopinata	2004
Erysipelothrix larvae	2016
Erysipelothrix rhusiopathiae	1918
Erysipelothrix tonsillarum	1987
Erythrobacter aquimaris	2004
Erythrobacter aquimixticola	2017
Erythrobacter arachoides	2017
Erythrobacter atlanticus	2015
Erythrobacter citreus	2002
Erythrobacter flavus	2003
Erythrobacter gaetbuli	2005
Erythrobacter gangjinensis	2010
Erythrobacter jejuensis	2013
Erythrobacter litoralis	1994
Erythrobacter longus	1982
Erythrobacter luteolus	2005
Erythrobacter luteus	2015
Erythrobacter lutimaris	2014
Erythrobacter marinus	2012
Erythrobacter nanhaisediminis	2010
Erythrobacter odishensis	2013
Erythrobacter pelagi	2012
Erythrobacter seohaensis	2005
Erythrobacter vulgaris	2006
Erythrobacter xanthus	2017
Erythromicrobium ramosum	1994
Erythromonas ursincola	1997
Escherichia adecarboxylata	1962
Escherichia albertii	2003
Escherichia blattae	1973
Escherichia coli	1919
Escherichia fergusonii	1985
Escherichia hermannii	1983
Escherichia marmotae	2015
Escherichia vulneris	1983
Ethanoligenens harbinense	2006
Eubacterium acidaminophilum	1989
Eubacterium aerofaciens	1938
Eubacterium aggregans	2000
Eubacterium alactolyticum	1970
Eubacterium angustum	1985
Eubacterium barkeri	1994
Eubacterium biforme	1938
Eubacterium brachy	1980
Eubacterium budayi	1970
Eubacterium callanderi	1988
Eubacterium cellulosolvens	1972
Eubacterium combesii	1970
Eubacterium contortum	1971
Eubacterium coprostanoligenes	1994
Eubacterium cylindroides	1970
Eubacterium desmolans	1986
Eubacterium dolichum	1976
Eubacterium eligens	1974
Eubacterium exiguum	1996
Eubacterium fissicatena	1972
Eubacterium formicigenerans	1974
Eubacterium fossor	1986
Eubacterium hadrum	1976
Eubacterium hallii	1974
Eubacterium infirmum	1996
Eubacterium lentum	1938
Eubacterium limosum	1938
Eubacterium minutum	1996
Eubacterium moniliforme	1970
Eubacterium multiforme	1970
Eubacterium nitritogenes	1940
Eubacterium nodatum	1980
Eubacterium oxidoreducens	1986
Eubacterium plautii	1982
Eubacterium plexicaudatum	1974
Eubacterium pyruvativorans	2003
Eubacterium ramulus	1976
Eubacterium rectale	1938
Eubacterium ruminantium	1959
Eubacterium saburreum	1970
Eubacterium saphenum	1993
Eubacterium siraeum	1976
Eubacterium suis	1982
Eubacterium sulci	1999
Eubacterium tarantellae	1977
Eubacterium tardum	1996
Eubacterium tenue	1970
Eubacterium timidum	1980
Eubacterium tortuosum	1938
Eubacterium uniforme	1985
Eubacterium ventriosum	1938
Eubacterium xylanophilum	1985
Eubacterium yurii	1986
Eudoraea adriatica	2008
Euzebya tangerina	2010
Euzebyella algicola	2018
Euzebyella marina	2017
Euzebyella saccharophila	2010
Ewingella americana	1984
Excellospora viridilutea	1975
Exiguobacterium acetylicum	1994
Exiguobacterium aestuarii	2005
Exiguobacterium alkaliphilum	2013
Exiguobacterium antarcticum	2002
Exiguobacterium aquaticum	2012
Exiguobacterium artemiae	2006
Exiguobacterium aurantiacum	1984
Exiguobacterium enclense	2015
Exiguobacterium indicum	2006
Exiguobacterium marinum	2005
Exiguobacterium mexicanum	2006
Exiguobacterium oxidotolerans	2004
Exiguobacterium profundum	2007
Exiguobacterium sibiricum	2006
Exiguobacterium soli	2008
Exiguobacterium undae	2002
Exilispira thermophila	2008
Extensimonas vulgaris	2013
Extibacter muris	2017
Ezakiella peruensis	2015
Fabibacter halotolerans	2006
Fabibacter misakiensis	2015
Fabibacter pacificus	2013
Fabivirga thermotolerans	2016
Facklamia hominis	1997
Facklamia ignava	1998
Facklamia languida	1999
Facklamia miroungae	2001
Facklamia sourekii	1999
Facklamia tabacinasalis	1999
Faecalibacterium prausnitzii	2002
Faecalibaculum rodentium	2016
Faecalicatena contorta	2017
Faecalicatena fissicatena	2017
Faecalicatena orotica	2017
Faecalicoccus acidiformans	2014
Faecalicoccus pleomorphus	2014
Faecalimonas umbilicata	2017
Faecalitalea cylindroides	2014
Faenia rectivirgula	1983
Falcatimonas natans	2016
Falcivibrio grandis	1984
Falcivibrio vaginalis	1984
Falsarthrobacter nasiphocae	2018
Falsibacillus pallidus	2009
Falsiporphyromonas endometrii	2014
Falsirhodobacter deserti	2015
Falsirhodobacter halotolerans	2013
Fangia hongkongensis	2007
Fastidiosibacter lacustris	2018
Fastidiosipila sanguinis	2005
Faucicola mancuniensis	2015
Fenollaria massiliensis	2018
Fermentibacillus polygoni	2016
Fermentimonas caenicola	2016
Ferribacterium limneticum	2000
Ferrimicrobium acidiphilum	2009
Ferrimonas balearica	1996
Ferrimonas futtsuensis	2006
Ferrimonas gelatinilytica	2013
Ferrimonas kyonanensis	2006
Ferrimonas marina	2005
Ferrimonas sediminum	2013
Ferrimonas senticii	2007
Ferriphaselus amnicola	2014
Ferrithrix thermotolerans	2009
Ferroglobus placidus	1997
Ferroplasma acidiphilum	2000
Ferroplasma cupricumulans	2008
Ferrovibrio denitrificans	2013
Ferrovibrio soli	2018
Ferrovibrio xuzhouensis	2015
Ferruginibacter alkalilentus	2009
Ferruginibacter lapsinanis	2009
Ferruginibacter paludis	2015
Ferruginibacter yonginensis	2014
Fervidicella metallireducens	2010
Fervidicoccus fontis	2010
Fervidicola ferrireducens	2009
Fervidobacterium changbaicum	2007
Fervidobacterium gondwanense	1996
Fervidobacterium islandicum	1991
Fervidobacterium nodosum	1985
Fervidobacterium pennivorans	1999
Fervidobacterium riparium	2011
Fervidobacterium thailandense	2016
Fibrella aestuarina	2011
Fibrisoma limi	2011
Fibrobacter intestinalis	1988
Fibrobacter succinogenes	1988
Fictibacillus aquaticus	2018
Fictibacillus arsenicus	2013
Fictibacillus barbaricus	2013
Fictibacillus enclensis	2014
Fictibacillus gelatini	2013
Fictibacillus halophilus	2016
Fictibacillus macauensis	2013
Fictibacillus nanhaiensis	2013
Fictibacillus phosphorivorans	2013
Fictibacillus rigui	2013
Fictibacillus solisalsi	2013
Filibacter limicola	1985
Filifactor alocis	1999
Filifactor villosus	1994
Filimonas aquilariae	2017
Filimonas aurantiibacter	2016
Filimonas endophytica	2015
Filimonas lacunae	2009
Filimonas zeae	2016
Filobacillus milosensis	2001
Filobacterium rodentium	2016
Filomicrobium fusiforme	1988
Filomicrobium insigne	2009
Fimbriiglobus ruber	2017
Fimbriimonas ginsengisoli	2012
Finegoldia magna	2000
Flagellimonas eckloniae	2007
Flammeovirga aprica	1997
Flammeovirga arenaria	2006
Flammeovirga kamogawensis	2007
Flammeovirga pacifica	2012
Flammeovirga yaeyamensis	2006
Flaviaesturariibacter amylovorans	2015
Flaviaesturariibacter luteus	2017
Flaviaesturariibacter terrae	2017
Flavicella marina	2015
Flaviflexus huanghaiensis	2013
Flaviflexus salsibiostraticola	2014
Flavihumibacter cheonanensis	2014
Flavihumibacter petaseus	2010
Flavihumibacter sediminis	2016
Flavihumibacter solisilvae	2014
Flavihumibacter stibioxidans	2016
Flavimaricola marinus	2018
Flavimarina flava	2017
Flavimarina pacifica	2015
Flavimonas oryzihabitans	1987
Flaviramulus aestuariivivens	2017
Flaviramulus aquimarinus	2015
Flaviramulus basaltis	2006
Flaviramulus ichthyoenteri	2013
Flavirhabdus iliipiscaria	2015
Flavisolibacter ginsengisoli	2007
Flavisolibacter ginsengiterrae	2007
Flavisolibacter ginsenosidimutans	2015
Flavisolibacter metallilatus	2018
Flavisolibacter rigui	2014
Flavisolibacter tropicus	2016
Flavitalea antarctica	2017
Flavitalea gansuensis	2013
Flavitalea populi	2011
Flavitalea soli	2016
Flavivirga amylovorans	2012
Flavivirga aquimarina	2017
Flavivirga eckloniae	2017
Flavivirga jejuensis	2012
Flavobacterium acidificum	1941
Flavobacterium aciduliphilum	2013
Flavobacterium acidurans	1973
Flavobacterium ahnfeltiae	2015
Flavobacterium algicola	2010
Flavobacterium alvei	2018
Flavobacterium amniphilum	2017
Flavobacterium anatoliense	2013
Flavobacterium anhuiense	2008
Flavobacterium antarcticum	2005
Flavobacterium aquatile	1923
Flavobacterium aquicola	2016
Flavobacterium aquidurense	2007
Flavobacterium araucananum	2012
Flavobacterium arcticum	2017
Flavobacterium ardleyense	2017
Flavobacterium arsenatis	2014
Flavobacterium arsenitoxidans	2015
Flavobacterium artemisiae	2018
Flavobacterium aurantiibacter	2018
Flavobacterium balustinum	1929
Flavobacterium banpakuense	2011
Flavobacterium beibuense	2011
Flavobacterium branchiarum	2016
Flavobacterium branchiicola	2016
Flavobacterium branchiophilum	1989
Flavobacterium breve	1982
Flavobacterium brevivitae	2016
Flavobacterium buctense	2016
Flavobacterium caeni	2010
Flavobacterium capsulatum	1962
Flavobacterium cauense	2009
Flavobacterium ceti	2007
Flavobacterium cheniae	2008
Flavobacterium cheonanense	2012
Flavobacterium cheonhonense	2014
Flavobacterium chilense	2012
Flavobacterium chuncheonense	2017
Flavobacterium chungangense	2009
Flavobacterium chungbukense	2011
Flavobacterium chungnamense	2012
Flavobacterium collinsense	2016
Flavobacterium collinsii	2016
Flavobacterium columnare	1996
Flavobacterium commune	2018
Flavobacterium compostarboris	2012
Flavobacterium crassostreae	2017
Flavobacterium croceum	2006
Flavobacterium cucumis	2007
Flavobacterium cutihirudinis	2013
Flavobacterium cyanobacteriorum	2018
Flavobacterium daejeonense	2006
Flavobacterium daemonensis	2015
Flavobacterium dankookense	2012
Flavobacterium defluvii	2007
Flavobacterium degerlachei	2004
Flavobacterium denitrificans	2005
Flavobacterium devorans	1923
Flavobacterium dispersum	2017
Flavobacterium dongtanense	2011
Flavobacterium eburneum	2017
Flavobacterium endophyticum	2015
Flavobacterium enshiense	2013
Flavobacterium esteraromaticum	1930
Flavobacterium faecale	2014
Flavobacterium ferrugineum	1934
Flavobacterium filum	2007
Flavobacterium flaviflagrans	2017
Flavobacterium flevense	1996
Flavobacterium fluminis	2017
Flavobacterium fluviatile	2018
Flavobacterium fluvii	2010
Flavobacterium foetidum	2018
Flavobacterium fontis	2013
Flavobacterium frigidarium	2001
Flavobacterium frigidimaris	2005
Flavobacterium frigoris	2004
Flavobacterium fryxellicola	2005
Flavobacterium fulvum	2016
Flavobacterium gelidilacus	2003
Flavobacterium gillisiae	2000
Flavobacterium ginsengisoli	2013
Flavobacterium ginsenosidimutans	2011
Flavobacterium glaciei	2006
Flavobacterium gleum	1984
Flavobacterium glycines	2010
Flavobacterium gondwanense	1993
Flavobacterium gossypii	2017
Flavobacterium granuli	2005
Flavobacterium gyeonganense	2014
Flavobacterium halmophilum	1940
Flavobacterium hankyongi	2018
Flavobacterium haoranii	2010
Flavobacterium heparinum	1956
Flavobacterium hercynium	2007
Flavobacterium hibernum	1998
Flavobacterium humicola	2016
Flavobacterium hydatis	1996
Flavobacterium indicum	2006
Flavobacterium indologenes	1983
Flavobacterium indoltheticum	1951
Flavobacterium inkyongense	2017
Flavobacterium jejuense	2016
Flavobacterium johnsoniae	1996
Flavobacterium jumunjinense	2013
Flavobacterium keumense	2017
Flavobacterium kingsejongi	2018
Flavobacterium koreense	2012
Flavobacterium kyungheense	2014
Flavobacterium lacicola	2018
Flavobacterium lacunae	2017
Flavobacterium lacus	2014
Flavobacterium limi	2017
Flavobacterium limicola	2003
Flavobacterium limnosediminis	2013
Flavobacterium lindanitolerans	2008
Flavobacterium longum	2014
Flavobacterium luteum	2017
Flavobacterium luticocti	2017
Flavobacterium lutivivi	2016
Flavobacterium macrobrachii	2011
Flavobacterium maotaiense	2015
Flavobacterium marinotypicum	1944
Flavobacterium maris	2016
Flavobacterium meningosepticum	1959
Flavobacterium micromati	2004
Flavobacterium mizutaii	1988
Flavobacterium multivorum	1981
Flavobacterium myungsuense	2012
Flavobacterium naphthae	2018
Flavobacterium nitrogenifigens	2015
Flavobacterium noncentrifugens	2013
Flavobacterium notoginsengisoli	2016
Flavobacterium oceanosedimentum	1978
Flavobacterium odoratum	1929
Flavobacterium okeanokoites	1944
Flavobacterium olei	2017
Flavobacterium omnivorum	2003
Flavobacterium oncorhynchi	2012
Flavobacterium orientale	2017
Flavobacterium oryzae	2014
Flavobacterium ovatum	2018
Flavobacterium palustre	2015
Flavobacterium paronense	2016
Flavobacterium pectinovorum	1996
Flavobacterium pedocola	2016
Flavobacterium phocarum	2018
Flavobacterium phragmitis	2011
Flavobacterium piscis	2014
Flavobacterium plurextorum	2014
Flavobacterium ponti	2011
Flavobacterium procerum	2015
Flavobacterium psychrolimnae	2005
Flavobacterium psychrophilum	1996
Flavobacterium qiangtangense	2015
Flavobacterium quisquiliarum	2017
Flavobacterium rakeshii	2012
Flavobacterium reichenbachii	2009
Flavobacterium resinovorum	1956
Flavobacterium resistens	2008
Flavobacterium rivuli	2009
Flavobacterium saccharophilum	1996
Flavobacterium salegens	1993
Flavobacterium saliperosum	2006
Flavobacterium sasangense	2009
Flavobacterium scophthalmum	1994
Flavobacterium sediminilitoris	2018
Flavobacterium segetis	2006
Flavobacterium seoulense	2015
Flavobacterium sinopsychrotolerans	2011
Flavobacterium soli	2006
Flavobacterium soyangense	2017
Flavobacterium spartansii	2014
Flavobacterium spiritivorum	1982
Flavobacterium squillarum	2013
Flavobacterium suaedae	2016
Flavobacterium subsaxonicum	2009
Flavobacterium succinicans	1996
Flavobacterium suncheonense	2006
Flavobacterium suzhouense	2015
Flavobacterium swingsii	2009
Flavobacterium tegetincola	2000
Flavobacterium terrae	2007
Flavobacterium terrigena	2007
Flavobacterium terriphilum	2016
Flavobacterium thalpophilum	1983
Flavobacterium thermophilum	1982
Flavobacterium tiangeerense	2009
Flavobacterium tilapiae	2013
Flavobacterium tistrianum	2016
Flavobacterium tyrosinilyticum	2016
Flavobacterium uliginosum	1944
Flavobacterium ummariense	2012
Flavobacterium urocaniciphilum	2014
Flavobacterium urumqiense	2012
Flavobacterium verecundum	2016
Flavobacterium vireti	2015
Flavobacterium weaverense	2006
Flavobacterium xanthum	2000
Flavobacterium xinjiangense	2003
Flavobacterium xueshanense	2012
Flavobacterium yabuuchiae	1988
Flavobacterium yanchengense	2013
Flavobacterium yonginense	2012
Flavonifractor plautii	2010
Flectobacillus fontis	2017
Flectobacillus glomeratus	1988
Flectobacillus lacus	2006
Flectobacillus major	1977
Flectobacillus marinus	1978
Flectobacillus pallidus	2017
Flectobacillus rhizosphaerae	2015
Flectobacillus roseus	2009
Flexibacter aggregans	1974
Flexibacter aurantiacus	1969
Flexibacter canadensis	1980
Flexibacter columnaris	1989
Flexibacter elegans	1989
Flexibacter filiformis	1989
Flexibacter flexilis	1945
Flexibacter japonensis	1997
Flexibacter litoralis	1969
Flexibacter maritimus	1986
Flexibacter ovolyticus	1992
Flexibacter polymorphus	1974
Flexibacter psychrophilus	1989
Flexibacter roseolus	1969
Flexibacter ruber	1969
Flexibacter sancti	1969
Flexibacter tractuosus	1974
Flexilinea flocculi	2016
Flexistipes sinusarabici	2000
Flexithrix dorotheae	1970
Flexivirga alba	2012
Flexivirga endophytica	2016
Flexivirga lutea	2016
Flexivirga oryzae	2017
Flindersiella endophytica	2011
Flintibacter butyricus	2016
Floricoccus penangensis	2017
Floricoccus tropicus	2017
Fluoribacter bozemanae	1980
Fluoribacter dumoffii	1981
Fluoribacter gormanii	1981
Fluviicoccus keumensis	2016
Fluviicola hefeinensis	2014
Fluviicola kyonggii	2018
Fluviicola taffensis	2005
Fodinibacter luteus	2009
Fodinibius salinus	2012
Fodinicola feengrottensis	2008
Fodinicurvata fenggangensis	2009
Fodinicurvata halophila	2015
Fodinicurvata sediminis	2009
Foliisarcina bertiogensis	2016
Fontibacillus aquaticus	2010
Fontibacillus panacisegetis	2011
Fontibacillus phaseoli	2014
Fontibacillus solani	2015
Fontibacter ferrireducens	2013
Fontibacter flavus	2010
Fonticella tunisiensis	2013
Fontimonas thermophila	2013
Formivibrio citricus	1991
Formosa agariphila	2006
Formosa algae	2004
Formosa arctica	2014
Formosa haliotis	2015
Formosa spongicola	2011
Formosa undariae	2013
Formosimonas limnophila	2017
Fournierella massiliensis	2017
Francisella halioticida	2012
Francisella hispaniensis	2010
Francisella noatunensis	2009
Francisella novicida	1959
Francisella persica	2016
Francisella philomiragia	1990
Francisella piscicida	2008
Francisella tularensis	1947
Franconibacter daqui	2017
Franconibacter helveticus	2014
Franconibacter pulveris	2014
Frankia alni	1895
Frankia asymbiotica	2017
Frankia casuarinae	2016
Frankia coriariae	2017
Frankia discariae	2017
Frankia elaeagni	2016
Frankia inefficax	2017
Frankia saprophytica	2018
Frateuria aurantia	1980
Frateuria terrea	2011
Frederiksenia canicola	2014
Fretibacterium fastidiosum	2013
Fretibacter rubidus	2013
Friedmanniella aerolata	2016
Friedmanniella antarctica	1997
Friedmanniella capsulata	1999
Friedmanniella endophytica	2016
Friedmanniella flava	2013
Friedmanniella lacustris	2000
Friedmanniella lucida	2010
Friedmanniella luteola	2010
Friedmanniella okinawensis	2010
Friedmanniella sagamiharensis	2010
Friedmanniella spumicola	1999
Frigidibacter albus	2015
Frigoribacterium endophyticum	2015
Frigoribacterium faeni	2000
Frigoribacterium mesophilum	2008
Frigoribacterium salinisoli	2016
Frischella perrara	2013
Frisingicoccus caecimuris	2016
Frondibacter aureus	2015
Frondibacter mangrovi	2017
Frondicola australicus	2007
Frondihabitans australicus	2009
Frondihabitans cladoniiphilus	2011
Frondihabitans peucedani	2010
Frondihabitans sucicola	2014
Fructobacillus durionis	2008
Fructobacillus ficulneus	2008
Fructobacillus fructosus	2008
Fructobacillus pseudoficulneus	2008
Fructobacillus tropaeoli	2011
Fuchsiella alkaliacetigena	2012
Fuchsiella ferrireducens	2015
Fulvibacter tottoriensis	2008
Fulvimarina manganoxydans	2014
Fulvimarina pelagi	2003
Fulvimonas soli	2002
Fulvimonas yonginensis	2014
Fulvitalea axinellae	2013
