Name	Year
Acinetobacter gerneri	2003
Acinetobacter grimontii	2003
Acinetobacter guangdongensis	2014
Acinetobacter guillouiae	2010
Acinetobacter gyllenbergii	2009
Acinetobacter haemolyticus	1986
Acinetobacter halotolerans	2017
Acinetobacter harbinensis	2014
Acinetobacter indicus	2012
Acinetobacter johnsonii	1986
Acinetobacter junii	1986
Acinetobacter kookii	2013
Acinetobacter lactucae	2016
Acinetobacter larvae	2017
Acinetobacter lwoffii	1954
Acinetobacter modestus	2016
Acinetobacter nectaris	2013
Acinetobacter nosocomialis	2011
Acinetobacter pakistanensis	2015
Acinetobacter parvus	2003
Acinetobacter piscicola	2018
Acinetobacter pittii	2011
Acinetobacter populi	2015
Acinetobacter pragensis	2016
Acinetobacter proteolyticus	2016
Acinetobacter puyangensis	2013
Acinetobacter qingfengensis	2014
Acinetobacter radioresistens	1988
Acinetobacter rudis	2011
Acinetobacter schindleri	2001
Acinetobacter seifertii	2015
Acinetobacter soli	2009
Acinetobacter tandoii	2003
Acinetobacter tjernbergiae	2003
Acinetobacter towneri	2003
Acinetobacter ursingii	2001
Acinetobacter variabilis	2015
Acinetobacter venetianus	1997
Acinetobacter vivianii	2016
Acrocarpospora corrugata	2000
Acrocarpospora macrocephala	2000
Acrocarpospora phusangensis	2013
Acrocarpospora pleiomorpha	2000
Actibacter haliotis	2015
Actibacterium atlanticum	2015
Actibacterium mucosum	2012
Actibacterium pelagium	2017
Actibacterium ureilyticum	2016
Actibacter sediminis	2008
Actinaurispora siamensis	2010
Actinoallomurus acaciae	2010
Actinoallomurus acanthiterrae	2013
Actinoallomurus amamiensis	2009
Actinoallomurus bryophytorum	2015
Actinoallomurus caesius	2009
Actinoallomurus coprocola	2009
Actinoallomurus fulvus	2009
Actinoallomurus iriomotensis	2009
Actinoallomurus liliacearum	2012
Actinoallomurus luridus	2009
Actinoallomurus oryzae	2011
Actinoallomurus purpureus	2009
Actinoallomurus radicium	2012
Actinoallomurus spadix	2009
Actinoallomurus vinaceus	2012
Actinoallomurus yoronensis	2009
Actinoalloteichus cyanogriseus	2000
Actinoalloteichus hoggarensis	2015
Actinoalloteichus hymeniacidonis	2006
Actinoalloteichus nanshanensis	2011
Actinoalloteichus spitiensis	2005
Actinobacillus actinomycetemcomitans	1929
Actinobacillus anseriformium	2012
Actinobacillus arthritidis	2002
Actinobacillus capsulatus	1962
Actinobacillus delphinicola	1996
Actinobacillus equuli	1934
Actinobacillus hominis	1985
Actinobacillus indolicus	1996
Actinobacillus lignieresii	1910
Actinobacillus minor	1996
Actinobacillus muris	1988
Actinobacillus pleuropneumoniae	1983
Actinobacillus porcinus	1996
Actinobacillus rossii	1990
Actinobacillus scotiae	1998
Actinobacillus seminis	1990
Actinobacillus succinogenes	1999
Actinobacillus suis	1962
Actinobacillus ureae	1986
Actinobaculum massiliense	2006
Actinobaculum schaalii	1997
Actinobaculum suis	1997
Actinobaculum urinale	2003
Actinobispora alaniniphila	1999
Actinobispora aurantiaca	1999
Actinobispora xinjiangensis	1999
Actinobispora yunnanensis	1991
Actinocatenispora rupis	2009
Actinocatenispora sera	2007
Actinocatenispora thailandica	2006
Actinocorallia aurantiaca	2001
Actinocorallia aurea	2007
Actinocorallia cavernae	2006
Actinocorallia glomerata	2001
Actinocorallia herbida	1994
Actinocorallia lasiicapitis	2016
Actinocorallia libanotica	2001
Actinocorallia longicatena	2001
Actinocorallia populi	2018
Actinocrinis puniceicyclus	2017
Actinocrispum wychmicini	2016
Actinokineospora acnipugnans	2017
Actinokineospora auranticolor	2003
Actinokineospora baliensis	2010
Actinokineospora cianjurensis	2010
Actinokineospora cibodasensis	2010
Actinokineospora diospyrosa	1995
Actinokineospora enzanensis	2003
Actinokineospora fastidiosa	2010
